case,user_id,test_positive_items,full_recall_at_20,full_hit_items_at_20,full_top_20,masked_recall_at_20,masked_hit_items_at_20,masked_top_20,fused_recall_at_20,fused_hit_items_at_20,fused_top_20
full_wins,26,5671,1,5671,4319|347|3004|4463|3523|602|5671|453|598|997|441|1558|497|994|995|439|195|255|3009|317,0,,4463|4319|995|5166|6338|6390|6515|1270|6765|1167|4658|5242|15|1007|3991|2988|994|997|1424|8136,1,5671,4319|4463|347|602|995|5671|3004|3523|997|453|994|3009|5166|195|1558|4011|3524|441|1007|529
full_wins,251,3008,1,3008,3004|4319|994|4463|612|378|5671|613|3008|3002|995|4531|3214|614|134|6500|3218|371|497|439,0,,3004|8607|136|8605|4122|2404|1577|4442|8432|841|6613|5888|1686|4162|3481|1417|677|2183|1491|6617,1,3008,3004|994|4319|4463|613|3008|3002|612|5671|378|995|4531|134|497|614|371|3214|153|6500|3218
full_wins,294,1050,1,1050,1402|880|4484|4066|5484|1362|1569|2552|5529|5411|4086|4249|2261|2449|7903|4658|7279|3883|1050|2651,0,,4066|361|3190|1674|2961|5995|5484|5517|723|2005|4427|627|3129|715|7646|2195|857|4125|4271|582,1,1050,4066|1402|5484|880|7903|1050|2552|1362|4220|5529|4086|4484|892|5517|1379|4113|7902|2791|3883|2651
full_wins,441,331|441,1,331|441,1205|598|331|439|440|569|33|498|441|3073|3237|695|697|226|4291|195|462|142|999|497,0,,2982|3073|4524|170|529|4532|4668|169|343|2086|6712|198|5709|2085|3861|4741|3509|29|5470|6918,0.5,331,1205|3073|2982|498|529|195|170|569|326|4083|2864|497|331|317|3509|440|169|598|371|33
full_wins,493,4932,1,4932,1869|5101|1686|2037|4692|2534|3145|2762|6490|4026|3532|4592|3112|1674|7788|2761|5091|1631|4932|2052,0,,1631|334|1005|8464|7884|1894|4809|5758|1692|9168|3491|2023|7313|8088|9041|6369|3200|2292|8171|6612,1,4932,1869|1631|1686|5101|4932|2037|4692|2534|2762|2052|4592|2761|3112|3532|3896|748|7788|3145|3696|6127
full_wins,509,4232,1,4232,1376|1402|3883|1356|4995|5484|4232|7247|1370|5909|892|1786|5947|1362|2226|2633|4122|4270|1394|7246,0,,5484|6029|44|3789|6402|2753|4220|4681|2986|8150|5178|5260|2392|2109|1342|1786|1400|1340|3567|8344,1,4232,5484|1376|1786|1402|4995|4232|1370|2633|5909|1394|2758|1356|7247|2239|4269|2226|5508|44|4679|4270
full_wins,521,919,1,919,4667|2800|415|497|356|8141|267|867|5630|3274|919|7663|4346|2898|977|377|371|469|308|1278,0,,597|883|875|790|4667|778|5212|1320|6778|5192|599|779|1689|8141|877|1700|4439|4114|1342|251,0,,4667|597|8141|2800|599|5630|267|469|1320|4346|977|5192|415|1215|7663|356|744|308|4114|355
full_wins,720,1399,1,1399,6169|892|1364|902|4247|5514|3495|1399|6122|4231|3496|4909|6115|871|6125|4656|4222|1381|4223|5899,0,,1433|237|993|5915|5722|561|2865|5809|507|1556|1551|535|5196|1392|8181|5509|6425|1079|241|4196,1,1399,1364|5514|892|6169|4247|1399|4231|6115|902|3496|1571|3493|6337|871|5901|5888|1410|4909|5880|5519
full_wins,838,4190,1,4190,1425|6531|4071|4291|4078|944|36|6595|1085|5832|4085|4493|5028|4990|2632|8285|4190|37|6267|5494,0,,2868|5627|5944|3009|3004|2772|5788|2866|4049|326|1368|6844|4125|3002|6276|1769|3011|4552|1085|5863,1,4190,1085|5944|6276|1542|4049|8285|4190|4085|4522|4071|4078|7370|5027|5009|6531|5837|5627|2507|944|4082
full_wins,840,4071,1,4071,131|4493|4961|4484|351|1425|132|5832|3367|771|4071|3282|7847|2931|4303|1071|746|36|6531|7831,0,,2772|771|1345|6844|9129|1210|1631|4846|4452|1085|8898|1939|1894|1045|1057|164|132|4854|9041|1692,0,,771|132|4452|3282|4961|1085|1057|131|1579|164|3367|6613|1071|299|351|4076|578|5525|5027|329
