user_id,selected_test_positive_item,test_positive_count,train_degree,listwise_jsd_mean,listwise_jsd_std_across_permutations,original_positive_probability,permuted_positive_probability_mean,positive_probability_change
0,164,1,3,0.1014964059,0.0290807858109,0.0136644588783,0.0224395189434,0.00877506006509
1,2530,10,28,0.11435791105,0.0462718568742,0.00505345640704,0.0054808720015,0.000427415594459
2,5029,8,21,0.101254284382,0.0186818689108,0.00347480131313,0.00383969000541,0.000364888692275
3,114,15,26,0.115111172199,0.0547356419265,0.0715521723032,0.128225266933,0.0566730946302
4,6857,2,27,0.0705004408956,0.0208871252835,0.0439570359886,0.013811419718,-0.0301456153393
5,8805,14,29,0.10957518965,0.0440494455397,0.0237675253302,0.034874971956,0.0111074466258
6,3200,4,20,0.0900076925755,0.00631492678076,0.00618526479229,0.0131833283231,0.00699806353077
7,3363,5,16,0.0879081711173,0.0109527073801,0.318316221237,0.26723253727,-0.0510836839676
8,3298,1,12,0.195205226541,0.0149614587426,0.456103444099,0.0753992274404,-0.38070422411
9,1322,2,12,0.106081545353,0.0179037824273,0.0217404160649,0.0337807573378,0.012040341273
10,154,2,7,0.0821343958378,0.0267093572766,0.0182680059224,0.0119756469503,-0.00629235897213
11,2968,7,12,0.0685014948249,0.0269545465708,0.0315430648625,0.0440129637718,0.0124698989093
12,131,5,18,0.0865145325661,0.0213061757386,0.894528448582,0.561765491962,-0.332762956619
13,7819,10,31,0.0825298577547,0.0122703248635,0.00299395504408,0.00120783504099,-0.00178612000309
14,590,12,51,0.0699109509587,0.0167775638402,0.0406109653413,0.026326417923,-0.0142845474184
15,164,8,18,0.0768708363175,0.0262224413455,0.0340227670968,0.025094749406,-0.00892801769078
16,8589,54,162,0.0759648606181,0.0287490654737,0.00270619476214,0.0028889477253,0.000182752963156
17,1070,25,75,0.0979756936431,0.0262187197804,0.116760909557,0.0815923735499,-0.0351685360074
18,208,8,10,0.107927046716,0.0374753251672,0.505354702473,0.299526691437,-0.205828011036
19,377,24,63,0.113436304033,0.0666519850492,0.593012452126,0.272000819445,-0.321011632681
20,5666,14,56,0.112071357667,0.0448004603386,0.0186941642314,0.0182197988033,-0.00047436542809
21,1082,9,16,0.0794432982802,0.0400907471776,0.0357622727752,0.0234325323254,-0.0123297404498
22,4474,4,17,0.0763114765286,0.0115415966138,0.0156526025385,0.00886437203735,-0.00678823050112
23,608,6,30,0.0614652372897,0.021154191345,0.119260847569,0.121073424816,0.00181257724762
24,395,9,28,0.0914566740394,0.0453198961914,0.167892560363,0.0785364061594,-0.0893561542034
25,344,17,38,0.0800796225667,0.041879452765,0.0872203409672,0.213403746486,0.126183405519
26,5671,1,12,0.22631187737,0.0558336935937,0.807927846909,0.207163751125,-0.600764095783
