sample_id,user_id,positive_item,negative_item,item_a,item_b,flipped,ground_truth_label,pid_split,split_position
0,0,164,1744,1744,164,1,0,test,347
1,1,2530,9165,9165,2530,1,0,train,3808
2,2,5029,7873,5029,7873,0,1,train,6316
3,3,114,7242,7242,114,1,0,train,5874
4,4,6857,118,6857,118,0,1,train,6606
5,5,8805,8205,8205,8805,1,0,train,7128
6,6,3200,4286,4286,3200,1,0,test,1772
7,7,3363,746,746,3363,1,0,train,6942
8,8,3298,8128,8128,3298,1,0,test,1626
9,9,1322,3076,3076,1322,1,0,train,5785
10,10,154,7040,7040,154,1,0,train,4589
11,11,2968,5895,2968,5895,0,1,train,410
12,12,131,287,131,287,0,1,train,694
13,13,7819,5347,7819,5347,0,1,train,2220
14,14,590,1535,1535,590,1,0,train,291
15,15,164,1446,164,1446,0,1,train,7323
16,16,8589,2445,2445,8589,1,0,train,3718
17,17,1070,3221,3221,1070,1,0,train,4083
18,18,208,1639,1639,208,1,0,test,1705
19,19,377,6497,377,6497,0,1,train,7410
20,20,5666,6759,5666,6759,0,1,test,411
21,21,1082,8335,1082,8335,0,1,train,5677
22,22,4474,8873,4474,8873,0,1,train,5187
23,23,608,2927,608,2927,0,1,test,664
24,24,395,3481,3481,395,1,0,train,634
25,25,344,9281,9281,344,1,0,test,1621
26,26,5671,2272,5671,2272,0,1,test,1476
27,27,704,3408,3408,704,1,0,train,1859
28,28,733,3186,3186,733,1,0,train,2088
29,29,681,886,681,886,0,1,train,6740
30,30,7945,6293,6293,7945,1,0,train,1857
31,31,665,7168,665,7168,0,1,train,4937
32,32,5968,6529,5968,6529,0,1,train,5252
33,34,628,3508,3508,628,1,0,train,4070
34,35,7321,3246,7321,3246,0,1,train,3860
35,36,710,928,928,710,1,0,train,576
36,37,705,5543,705,5543,0,1,test,797
37,38,674,8495,674,8495,0,1,train,2615
38,39,5977,6748,5977,6748,0,1,train,3166
39,40,5969,509,5969,509,0,1,train,4711
40,41,681,1166,1166,681,1,0,train,6948
41,42,627,4492,4492,627,1,0,train,3351
42,43,652,7202,652,7202,0,1,train,1252
43,44,620,5134,620,5134,0,1,train,7227
44,45,720,3026,3026,720,1,0,train,5922
45,46,672,3992,672,3992,0,1,test,811
46,47,737,1595,1595,737,1,0,train,7644
47,48,678,9030,9030,678,1,0,train,6232
48,49,635,6350,635,6350,0,1,train,4518
49,51,629,2698,2698,629,1,0,train,7605
50,52,619,8186,8186,619,1,0,test,899
51,53,698,2231,698,2231,0,1,train,2523
52,56,734,4095,734,4095,0,1,train,448
53,57,688,5440,5440,688,1,0,train,3711
54,59,5065,7142,7142,5065,1,0,test,1149
55,60,912,8123,8123,912,1,0,test,808
56,61,883,8888,883,8888,0,1,train,5381
57,62,4128,5576,5576,4128,1,0,train,5009
58,63,316,6095,316,6095,0,1,train,2270
59,64,7492,8556,7492,8556,0,1,train,421
60,65,490,2822,490,2822,0,1,train,7113
61,66,766,6101,6101,766,1,0,train,3362
62,67,162,4295,4295,162,1,0,train,3968
63,68,3376,4084,4084,3376,1,0,train,5447
64,69,161,2218,2218,161,1,0,train,4417
65,70,4463,394,394,4463,1,0,train,3262
66,71,476,5059,5059,476,1,0,train,6411
67,72,750,1772,1772,750,1,0,test,316
68,73,316,1828,1828,316,1,0,test,1636
69,74,278,5333,278,5333,0,1,train,1263
70,75,4358,1229,4358,1229,0,1,train,5380
71,76,9057,7296,7296,9057,1,0,train,501
72,77,749,8572,8572,749,1,0,train,1471
73,78,750,3272,3272,750,1,0,train,3745
74,79,5757,5046,5757,5046,0,1,train,3689
75,80,8279,5078,5078,8279,1,0,train,3184
76,81,9024,7054,7054,9024,1,0,train,5523
77,82,340,8094,8094,340,1,0,test,157
78,83,4481,7243,7243,4481,1,0,test,1671
79,84,844,6044,6044,844,1,0,train,1996
80,85,165,4025,4025,165,1,0,test,184
81,86,3039,4395,3039,4395,0,1,train,674
82,87,865,902,865,902,0,1,test,1695
83,88,905,2292,2292,905,1,0,train,3039
84,89,208,8796,8796,208,1,0,train,6171
85,90,2991,576,2991,576,0,1,train,2029
86,91,1104,1044,1104,1044,0,1,test,861
87,92,4667,8586,8586,4667,1,0,train,3819
88,93,3612,3821,3821,3612,1,0,train,6984
89,94,3168,4163,4163,3168,1,0,train,1068
90,95,313,7000,313,7000,0,1,train,7049
91,96,3408,6003,3408,6003,0,1,test,1742
92,97,312,3453,312,3453,0,1,test,1160
93,98,106,663,106,663,0,1,train,811
94,100,747,3379,3379,747,1,0,train,6737
95,101,788,1965,1965,788,1,0,train,7575
96,102,299,8327,299,8327,0,1,test,1641
97,103,6285,7570,7570,6285,1,0,test,1856
98,104,5172,3739,3739,5172,1,0,train,5524
99,105,891,5758,891,5758,0,1,train,1534
100,106,693,7104,693,7104,0,1,train,1119
101,107,2566,56,2566,56,0,1,test,1458
102,108,5012,6833,5012,6833,0,1,test,1277
103,109,1351,871,871,1351,1,0,train,5762
104,110,3494,2411,2411,3494,1,0,train,1214
105,111,6466,5484,6466,5484,0,1,train,4425
106,112,4071,6252,4071,6252,0,1,train,1765
107,113,7318,1259,7318,1259,0,1,train,1576
108,114,1867,7909,7909,1867,1,0,train,5684
109,115,596,8265,8265,596,1,0,train,4418
110,116,8601,7816,8601,7816,0,1,test,1893
111,117,7759,2467,7759,2467,0,1,train,4705
112,118,5267,6066,5267,6066,0,1,train,1445
113,119,4705,370,4705,370,0,1,train,7544
114,120,1980,4558,1980,4558,0,1,train,2308
115,121,6429,3163,3163,6429,1,0,train,1988
116,122,4866,2281,2281,4866,1,0,train,4909
117,123,2246,1275,1275,2246,1,0,train,4504
118,124,8246,4590,8246,4590,0,1,train,7522
119,125,3766,5040,5040,3766,1,0,train,834
120,126,7892,1058,7892,1058,0,1,train,3623
121,127,2397,8841,8841,2397,1,0,train,6290
