edge_id,user_id,item_id,original_edge_weight,cosine_similarity
0,0,0,0.974099874,0.99009347
1,0,1,0.978791952,0.990313411
2,0,2,0.934532762,0.995923877
3,1,3,0.966486514,0.999526858
4,1,4,0.939706087,0.999734879
5,1,5,0.979582548,0.999887347
6,1,6,0.963768125,0.999507308
7,1,7,0.981734931,0.999539793
8,1,8,0.971477032,0.998937964
9,1,9,0.979857504,0.999673605
10,1,10,0.988584161,0.999532223
11,1,11,0.987865508,0.999499798
12,1,12,0.955322325,0.999614298
13,1,13,0.964936852,0.99979198
14,1,14,0.990383089,0.999322414
15,1,15,0.921083212,0.999766111
16,1,16,0.966726661,0.999660969
17,1,17,0.745784879,0.999859929
18,1,18,0.992505848,0.999798298
19,1,19,0.979363203,0.999769986
20,1,20,0.86099577,0.99982965
21,1,21,0.982569575,0.999462008
22,1,22,0.948580742,0.999817848
23,1,23,0.986780465,0.999720335
24,1,24,0.98327142,0.999678731
25,1,25,0.97107935,0.999514222
26,1,26,0.924745321,0.999840677
27,1,27,0.986344337,0.999841332
28,1,28,0.987412095,0.999170721
29,1,29,0.975720167,0.999645352
30,1,30,0.980290532,0.99955833
31,2,31,0.946498632,0.999824524
32,2,32,0.970663369,0.999460459
33,2,33,0.922997653,0.999833822
34,2,34,0.983006656,0.999665618
35,2,35,0.978003502,0.999188542
36,2,36,0.991732717,0.999761403
37,2,37,0.989751041,0.999811888
38,2,38,0.988877356,0.999206543
39,2,39,0.990714312,0.999199331
40,2,40,0.986876488,0.999523401
41,2,41,0.98251158,0.999330103
42,2,42,0.978461623,0.999487996
43,2,43,0.988677561,0.999517322
44,2,44,0.990125418,0.999120831
45,2,45,0.939804137,0.999336362
46,2,46,0.978572726,0.999464512
47,2,47,0.969154835,0.999306321
48,2,48,0.971933007,0.999368668
49,2,49,0.985536277,0.999449015
50,2,50,0.991532028,0.999298334
51,2,51,0.978823125,0.999009728
52,3,3,0.99014473,0.999340713
53,3,52,0.835258901,0.999924302
54,3,53,0.979326248,0.999752581
55,3,54,0.984999597,0.999659061
56,3,55,0.991527736,0.999581337
57,3,56,0.853127837,0.999656796
58,3,57,0.97258985,0.999783635
59,3,58,0.976051569,0.999510944
60,3,59,0.989882648,0.999611735
61,3,60,0.992977321,0.999716103
62,3,61,0.986951113,0.999484062
63,3,62,0.990870774,0.999799013
64,3,63,0.989616156,0.999350727
65,3,64,0.99177587,0.999704242
66,3,65,0.936392844,0.999582648
67,3,66,0.982427239,0.999786675
68,3,67,0.993326783,0.999679089
69,3,68,0.98916024,0.999667287
70,3,69,0.972577691,0.999755025
71,3,70,0.990712821,0.999409378
72,3,71,0.984431922,0.99971509
73,3,72,0.774065316,0.999786854
74,3,73,0.944909394,0.999557793
75,3,74,0.927746832,0.999703407
76,3,75,0.972950041,0.999596119
77,3,76,0.96284467,0.99981612
78,4,3,0.989601195,0.999475121
79,4,77,0.986779094,0.999235213
80,4,78,0.937051535,0.999602795
81,4,79,0.881837785,0.999838829
82,4,80,0.944884062,0.999750257
83,4,81,0.981602728,0.999731779
84,4,82,0.987940192,0.999716282
85,4,83,0.935767055,0.999628782
86,4,84,0.930746078,0.999527276
87,4,85,0.960447967,0.999493718
88,4,86,0.993140042,0.999417722
89,4,87,0.976965547,0.999469697
90,4,88,0.992378235,0.999437749
91,4,89,0.968648791,0.999641657
92,4,90,0.995100081,0.999558389
93,4,91,0.940915525,0.999445677
94,4,92,0.932597578,0.999532104
95,4,93,0.989853561,0.999724746
96,4,94,0.994829714,0.99969101
97,4,95,0.991889775,0.999434829
98,4,96,0.981200039,0.99973613
99,4,97,0.985411286,0.999585807
100,4,98,0.985702693,0.999482512
101,4,99,0.96421349,0.999512434
102,4,100,0.978576601,0.999697804
103,4,101,0.776494265,0.999675214
104,4,102,0.993098795,0.999539018
105,5,3,0.957923174,0.999508619
106,5,103,0.989160955,0.999828279
107,5,104,0.985426664,0.999769449
108,5,105,0.979256511,0.999886692
109,5,106,0.978422284,0.999881327
110,5,107,0.955899954,0.999814332
111,5,108,0.961274028,0.999792218
112,5,109,0.985280335,0.999864101
113,5,110,0.993418753,0.999775887
114,5,111,0.976158798,0.999780536
115,5,112,0.974451184,0.999856532
116,5,113,0.984689713,0.999706924
117,5,114,0.989456356,0.999848783
118,5,115,0.988695204,0.999864042
119,5,116,0.993670821,0.999672413
120,5,117,0.994551837,0.999935329
121,5,118,0.992691696,0.999435961
122,5,119,0.981599867,0.999741793
123,5,120,0.976844132,0.999553323
124,5,121,0.994373918,0.999862492
125,5,122,0.970989585,0.999666333
126,5,123,0.98960042,0.999516129
127,5,124,0.98926115,0.999683976
128,5,125,0.992399633,0.999593794
129,5,126,0.991107941,0.999473929
130,5,127,0.99090904,0.999521375
131,5,128,0.972928524,0.999704361
132,5,129,0.989686072,0.999669731
133,5,130,0.988964558,0.999670923
134,6,3,0.968600154,0.999055862
135,6,131,0.98417455,0.999938607
136,6,132,0.9875108,0.999559939
137,6,133,0.980603039,0.999351859
138,6,134,0.948131561,0.999942422
139,6,135,0.991498172,0.999795496
140,6,114,0.988128126,0.999705315
141,6,136,0.965940714,0.999584198
142,6,137,0.988428175,0.998865783
143,6,138,0.985258818,0.999775946
144,6,139,0.990907669,0.999265671
145,6,140,0.987389445,0.999578178
146,6,141,0.994054615,0.999523163
147,6,142,0.960645139,0.999703288
148,6,143,0.984923363,0.999487519
149,6,144,0.986190319,0.998881817
150,6,145,0.961087465,0.999197841
151,6,146,0.986376107,0.999176502
152,6,147,0.965662956,0.999659061
153,6,148,0.962731838,0.99937439
154,7,3,0.989189625,0.999010026
155,7,149,0.980206132,0.999609172
156,7,150,0.989676654,0.999227583
157,7,151,0.989247024,0.998320162
158,7,152,0.988700688,0.999356508
159,7,153,0.986627877,0.999754786
160,7,154,0.981810451,0.999381185
161,7,155,0.995472968,0.999615908
162,7,156,0.982060671,0.999467969
163,7,157,0.970165431,0.999081552
164,7,158,0.991989076,0.998826563
165,7,159,0.984201014,0.99936986
166,7,160,0.990484476,0.998927712
167,7,161,0.994940162,0.99960953
168,7,162,0.943332493,0.998762608
169,7,163,0.984982312,0.999211848
170,8,164,0.971046448,0.999660909
171,8,165,0.984750032,0.999500036
172,8,166,0.979257226,0.997629762
173,8,167,0.956148922,0.99929899
174,8,168,0.977201998,0.99654001
