metric,learned,random_mean,random_std,random_2.5%,random_97.5%,learned_minus_random,relative_gain_%,fraction_random_at_least_learned,empirical_p
recall@5,0.0857052125600652,0.0853161617500706,0.00020493626497571985,0.08492507083773848,0.08575981138819537,0.00038905080999460107,0.45601068075977746,0.05,0.0594059405940594
recall@10,0.12679512793666875,0.1264795888172066,0.00020835745047977403,0.12614296525811455,0.1268870899872238,0.0003155391194621382,0.24947829322734538,0.08,0.0891089108910891
recall@15,0.15399157184670836,0.1535447322271628,0.00022465121513793058,0.15315947053952034,0.15399323365885637,0.0004468396195455582,0.2910159228937115,0.03,0.039603960396039604
recall@20,0.17675738788123316,0.17760059710043438,0.0002158177642897009,0.17718489367741236,0.17797367161843397,-0.0008432092192012242,-0.4747783695368879,1.0,1.0
ndcg@5,0.08553679584634556,0.08536243189248001,0.00015335686859043956,0.08510788782309317,0.08565112824659209,0.0001743639538655528,0.20426310497476674,0.13,0.13861386138613863
ndcg@10,0.09908372382433352,0.09888137649637294,0.0001314929117147586,0.09866486742517301,0.09915260568196702,0.00020234732796058086,0.20463643926720287,0.07,0.07920792079207921
ndcg@15,0.10816694228815774,0.10797592648799338,0.0001243850073219942,0.10774738332118487,0.10820669887621177,0.00019101580016435415,0.17690591447308002,0.05,0.0594059405940594
ndcg@20,0.11552011098155032,0.11569590189428246,0.00012609548847542702,0.11548521411234347,0.1159489001557591,-0.00017579091273213499,-0.15194221217339487,0.91,0.9108910891089109
precision@5,0.056916835699796324,0.05671643002028311,0.00012099423639447499,0.05651115618661168,0.05694776876267665,0.00020040567951321725,0.3533467805387991,0.05,0.0594059405940594
precision@10,0.04362068965517395,0.0434550709939163,6.727518593644683e-05,0.04334685598377432,0.04359558823529562,0.00016561866125764518,0.3811262010844141,0.02,0.0297029702970297
precision@15,0.03638269100743626,0.03631757944557014,4.85730478730123e-05,0.036240703177821666,0.0364132860040556,6.511156186612271e-05,0.17928386985071043,0.13,0.13861386138613863
precision@20,0.03196754563894708,0.03207910750507285,3.4468594290671825e-05,0.032012931034484604,0.03214503042596536,-0.00011156186612576446,-0.34777110338285455,1.0,1.0
map@5,0.05634032003606037,0.05631339305837273,0.00012471486881874907,0.05608727955262562,0.05652969771241825,2.6926977687642684e-05,0.047816294180202945,0.38,0.38613861386138615
map@10,0.05926458508051987,0.05916300472407971,0.00011198082685748192,0.05896882114994765,0.0593575243890658,0.00010158035644015906,0.1716957360666571,0.22,0.22772277227722773
map@15,0.06144649917963119,0.06135034198291887,0.00010965877895047038,0.06115438750881945,0.061548873945505976,9.615719671231954e-05,0.15673457327929352,0.25,0.25742574257425743
map@20,0.06315153981515012,0.06314662392869047,0.00010844472502078863,0.06294876636826599,0.06336236605991463,4.91588645964991e-06,0.007784876140326524,0.46,0.46534653465346537
